user_id,movie_id,rating
1,78,5.0
1,150,4.5
1,186,4.0
1,147,5.0
1,3,3.0
1,67,3.0
1,168,5.0
1,93,4.0
1,178,3.5
1,61,3.0
1,16,4.5
1,171,3.5
1,31,3.0
1,120,2.0
1,79,1.5
1,41,4.0
1,104,4.0
1,176,3.5
1,129,3.0
1,181,4.5
1,80,4.5
1,177,3.5
1,188,3.0
1,164,3.5
1,76,3.5
1,95,4.5
1,158,3.0
1,57,5.0
1,173,4.5
1,35,2.5
1,123,3.0
1,40,5.0
1,117,4.5
1,156,2.5
1,96,5.0
1,107,2.5
1,141,5.0
1,121,2.0
1,138,3.0
1,56,3.5
1,64,5.0
2,181,5.0
2,93,3.5
2,20,3.5
2,145,4.0
2,29,3.5
2,16,4.5
2,141,5.0
2,130,3.5
2,52,2.5
2,147,4.0
2,138,4.0
2,39,4.5
2,43,4.5
2,84,5.0
2,134,4.0
2,114,4.0
2,30,3.5
2,175,3.5
2,53,5.0
2,150,4.0
2,126,4.5
2,24,3.5
2,131,3.5
2,115,4.5
2,15,3.5
2,117,4.5
2,34,4.5
2,132,3.0
2,107,2.5
2,183,4.0
2,197,4.5
2,176,3.0
2,144,5.0
2,119,3.0
2,79,3.0
2,6,3.0
2,102,4.5
2,66,3.5
2,1,1.5
2,56,3.0
2,149,4.5
2,19,4.0
2,12,3.0
2,109,4.5
2,89,2.5
2,17,4.0
2,139,4.0
2,195,4.5
2,18,4.0
2,121,3.0
2,9,5.0
2,74,3.0
2,105,4.5
3,166,4.5
3,108,4.0
3,96,4.5
3,98,3.0
3,115,4.0
3,97,4.5
3,195,4.0
3,21,2.5
3,175,3.0
3,170,2.5
3,139,4.0
3,35,3.0
3,168,5.0
3,90,4.5
3,31,3.0
3,46,3.5
3,138,3.0
3,101,3.0
3,136,3.0
3,33,5.0
3,58,3.0
3,1,3.0
3,6,3.5
3,77,2.5
3,119,5.0
3,173,5.0
3,140,4.0
3,109,4.5
3,137,3.5
3,197,3.0
3,59,5.0
3,64,5.0
3,118,3.0
3,89,2.5
3,40,4.0
3,71,4.0
3,49,2.0
3,29,4.0
3,9,3.5
3,199,3.5
3,158,3.0
3,5,4.0
3,62,3.0
3,53,4.5
3,18,4.5
3,26,2.5
3,153,4.5
3,162,4.5
3,196,2.5
3,13,5.0
3,63,5.0
3,12,3.5
3,103,3.5
3,113,3.0
3,60,5.0
3,190,4.5
3,56,3.5
3,15,3.0
3,36,4.0
3,129,3.5
3,75,3.0
3,146,3.5
3,82,4.0
3,83,4.5
3,61,2.0
3,78,5.0
4,77,3.0
4,71,4.5
4,16,5.0
4,143,3.5
4,152,4.0
4,189,5.0
4,45,5.0
4,161,5.0
4,174,3.5
4,110,4.0
4,197,3.0
4,127,3.0
4,13,4.5
4,89,3.0
4,165,4.5
4,172,4.5
4,98,3.0
4,135,4.0
4,82,3.0
4,179,5.0
4,107,3.5
4,105,4.5
4,39,4.0
4,200,5.0
4,97,4.5
4,48,5.0
4,138,4.5
4,122,3.5
4,62,3.0
4,58,2.0
4,177,4.0
4,37,3.5
4,119,5.0
4,15,2.0
4,144,4.5
4,106,4.0
4,180,3.5
4,190,4.5
4,136,3.0
4,35,2.5
4,100,3.0
4,63,5.0
4,66,4.5
4,53,5.0
4,85,4.0
4,21,2.5
5,69,3.5
5,97,5.0
5,173,4.5
5,155,5.0
5,197,4.5
5,11,5.0
5,19,3.5
5,49,4.0
5,151,4.0
5,186,4.0
5,172,3.5
5,144,4.5
5,56,3.5
5,123,3.5
5,54,5.0
5,86,3.0
5,78,5.0
5,4,2.5
5,55,3.5
5,193,5.0
5,31,3.5
5,187,3.0
5,63,4.5
6,199,4.0
6,73,2.5
6,98,2.5
6,120,3.0
6,137,2.5
6,167,5.0
6,92,4.5
6,79,1.5
6,67,4.0
